goalkeeper,shots_faced,goals_conceded,save_ratio
Benjamin Lecomte,1.0605567893903072,0.0,1.0
Gauthier Gallon,0.6271569452175233,0.0,1.0
Benjamin Leroy,0.3860601519596191,0.0,1.0
Leonardo Cesar Jardim,0.4813359312180197,0.0,1.0
Arthur Desmas,0.319838041772194,0.0,1.0
Predrag Rajković,5.185878748348755,0.0,1.0
Ivo Grbić,0.9130435269444719,0.0,1.0
Jean-Louis Leca,0.9798393969551746,0.0,1.0
Dimitry Bertaud,0.3418304138723656,0.0,1.0
Alfred Benjamin Gomis,0.4848330653061603,0.0,1.0
Matthieu Dreyer,0.4466044033028802,0.0,1.0
Paul Nardi,0.5644233759369255,0.0,1.0
Gaëtan Poussin,0.45576615332393794,0.0,1.0
Etienne Green,0.29037274581219913,0.0,1.0
Walter Daniel Benítez,1.0084826149443216,0.0,1.0
Marc-Aurèle Caillard,0.9237523361292985,0.0,1.0
Jessy Moulin,0.6195854044020505,0.0,1.0
Doğan Alemdar,0.526183784436182,0.0,1.0
Yohann Pelé,0.004433073746464579,0.0,1.0
Rémy Vercoutre,0.056659137478588244,0.0,1.0
Cédric Carrasso,0.006953330572476192,0.0,1.0
Kossi Agassa,0.011373710962569403,0.0,1.0
Stéphane Ruffier,0.02763788061561595,0.0,1.0
Yoan Cardinale,0.003638215053339258,0.0,1.0
Jonas Lössl,0.010540179027332357,0.0,1.0
Clément Maury,0.008187159976864644,0.0,1.0
Denis Petrić,0.004822921459201141,0.0,1.0
Jesper Hansen,0.0033461644453708973,0.0,1.0
Johann Carrasso,0.004093061370517233,0.0,1.0
Rémy Riou,0.01641852291760264,0.0,1.0
Alexandre Letellier,0.007452353339103111,0.0,1.0
Laurent Pionnier,0.005538021753234973,0.0,1.0
Tomas Lían Romero Keubler,1.1673562091867984,0.0,1.0
Drake Callender,6.44582358514245,0.0,1.0
Roman Celentano,2.4113547397457964,0.0,1.0
Carlos Miguel Coronel,0.4174511651088495,0.0,1.0
John McCarthy,0.4238448920431226,0.0,1.0
Carlos Joaquim Dos Santos,1.083406397293998,0.0,1.0
Kristijan Kahlina,1.2381787397645692,0.0,1.0
Elliot Panicco,1.2619076416598503,0.0,1.0
Asmir Begović,0.025858976236722085,0.0,1.0
Bradley Guzan,0.013877905668461102,0.0,1.0
Joe Hart,0.013118634766237551,0.0,1.0
Costel Fane Pantilimon,0.024729671552029493,0.0,1.0
Simon Mignolet,0.02390245440000263,0.0,1.0
Maarten Stekelenburg,0.6503371878895609,0.0,1.0
Artur Boruc,0.03053454496416341,0.0,1.0
Glyn Oliver Myhill,0.018018427675932567,0.0,1.0
Rob Elliot,0.010845645770316567,0.0,1.0
Tim Howard,0.018203431172507337,0.0,1.0
Heurelho da Silva Gomes,0.016986496730518993,0.0,1.0
Mark Bunn,0.007994708268032025,0.0,1.0
Ben Foster,0.008335949146991546,0.0,1.0
Ádám Bogdán,0.0106596110240427,0.0,1.0
John Ruddy,0.025491171897809115,0.0,1.0
Vito Mannone,0.013694512244982172,0.0,1.0
Jack Butland,0.03012468709048686,0.0,1.0
Adam Federici,0.005086534839644843,0.0,1.0
Richard Wright,1.2782547243956105e-06,0.0,1.0
Jens Lehmann,4.6401834404553344e-05,0.0,1.0
Kasey Keller,2.1763818346223532e-06,0.0,1.0
David Seaman,7.89125449396302e-07,0.0,1.0
Paul Jones,7.129848686264419e-07,0.0,1.0
Shaka Hislop,4.712666278236162e-06,0.0,1.0
Michael Oakes,1.3141001037832254e-06,0.0,1.0
Roy Carroll,2.352120373067966e-06,0.0,1.0
Ian Walker,3.999958656175e-06,0.0,1.0
Danny Coyne,4.2945330561568336e-07,0.0,1.0
Dean Kiely,3.581817024444451e-06,0.0,1.0
Mark Schwarzer,2.8460637776385654e-06,0.0,1.0
Paul Robinson,3.067897375010536e-06,0.0,1.0
Carlo Cudicini,1.1526366989344916e-06,0.0,1.0
Brad Friedel,2.808498392310729e-06,0.0,1.0
Thomas Løvendahl Sørensen,2.7264264341769954e-06,0.0,1.0
Shay Given,3.53293176688346e-06,0.0,1.0
David James,1.4098059906567952e-06,0.0,1.0
Ian Bennett,1.6727217658296787e-06,0.0,1.0
Neil Sullivan,1.2813583254451218e-06,0.0,1.0
Antti Mikko Niemi,3.4446660453235816e-06,0.0,1.0
Maik Taylor,4.619599160931196e-07,0.0,1.0
Jussi Jääskeläinen,1.4218150442520732e-06,0.0,1.0
Nigel Martyn,1.344405757775438e-06,0.0,1.0
Antonio Mirante,0.0217833928589753,0.0,1.0
Rafael de Andrade Bittencourt Pinheiro,0.04032497179561788,0.0,1.0
Federico Marchetti,0.023950915369545835,0.0,1.0
Samir Handanovič,0.02391601406019115,0.0,1.0
Francesco Benussi,0.004896872914420032,0.0,1.0
