manager,directness,width,tempo,raw_directness,raw_width,raw_tempo
Luigi De Canio,5,7,10,0.2545752577987681,0.35287900337700523,1010.707438860453
Roberto Stellone,4,6,10,0.24563390266579782,0.31267692192347596,1095.996110662288
Gian Piero Ventura	,5,6,10,0.25224245205674134,0.3166232631803331,1078.8032048732969
Maurizio Sarri,4,6,10,0.24346634889122237,0.34172223112102185,1140.5134282727659
Simone Inzaghi,4,6,10,0.24541346940652548,0.32948076457611025,1074.7294216181442
Marco Giampaolo,4,6,10,0.23753160843766774,0.326081259928083,1093.3854608420104
Paulo Manuel Carvalho de Sousa,4,8,10,0.23539710849113418,0.4218725579306009,1004.2883303325564
Eusebio Di Francesco,5,6,10,0.2515215862162736,0.31986947561485873,1233.2777997877067
Siniša Mihajlović,5,6,10,0.2548994062487614,0.34550618133397365,1162.8481346664653
Luigi Delneri,4,6,10,0.23886639676113358,0.30870445344129555,1295.0
Giuseppe Iachini,5,7,10,0.2626192636711446,0.3724215416238629,1090.2435308610436
Delio Rossi,5,7,10,0.2523020257826888,0.3848987108655617,1052.0
Rino Marchesi,5,5,10,0.2962962962962963,0.26587301587301587,1291.0
Ottavio Bianchi,5,5,10,0.2962962962962963,0.26587301587301587,1291.0
Ivan Hašek,4,7,10,0.2139384129775095,0.3618250153827161,939.7089788407501
Marco Rossi,4,8,10,0.2352943903025382,0.4032714404773698,919.7384617911763
Matjaž Kek,4,7,10,0.2214088319347552,0.37266954382448086,929.9616134970079
Luciano Spalletti,4,6,10,0.20753616299119582,0.3349726519444693,853.4786251607563
Luis de la Fuente Castillo,4,7,10,0.23694598007631354,0.3548955248289332,951.2254692631649
Michał Probierz,4,7,10,0.23992667037050247,0.368383131359566,970.5016782544008
Ralf Rangnick,4,6,10,0.23444706568570745,0.33449817827324857,999.5425362686143
Edward Iordănescu,4,5,10,0.22022138109622386,0.28907119925423425,885.0854942131887
Sergiy Rebrov,4,6,10,0.22989143553049388,0.3075617925196727,878.7336588035023
