player,attempts,completions,progressive,accuracy,progressive_ratio,shots,goals,shot_conversion
Maya Yoshida,15.3203714261694,13.78061299408149,5.112524557545376,0.8994960116007514,0.37099398696858454,0.0038657483246180772,0.0,0.0
Lukas Klostermann,10.517196582110794,10.33356062956504,2.5040981528850352,0.9825394580093607,0.24232674899304651,0.0,0.0,0.0
Memphis Depay,47.88814132718124,33.618732949593166,6.2636672530762,0.7020262640786858,0.18631479248393265,4.66215780093422,0.2780693777452938,0.05964392232488854
Leon Goretzka,23.541525757420686,21.12212710063781,4.699816398616859,0.8972284684640612,0.22250677577235778,1.0743420669566135,0.17498983268746976,0.16288092784375408
Noah Allen,29.404414615245233,23.911508789273828,3.3199110035276567,0.8131945186515118,0.13884155252540548,0.2966291973824621,0.0,0.0
Duje Ćaleta-Car,8.20538357441079,7.752893955816325,2.4293306991694212,0.944854544033067,0.31334501839108797,0.054122785935480575,0.054122785935480575,1.0
Jamal Musiala,40.08504011274213,34.12005610287048,7.66008883618882,0.8511917664771024,0.22450399299151172,2.5238538516227402,0.24934943821259073,0.09879709875128811
Dušan Vlahović,8.44344743361212,4.755878183437358,0.7358493250104161,0.5632626034367085,0.15472417430140606,1.7202370978937882,0.08362606710644281,0.048613105256730196
Piero Martín Hincapié Reyna,325.6635908467713,290.9377579980642,80.07562535538386,0.8933690046270908,0.2752328398568214,3.6840577440142175,0.1836359525457528,0.049846111354829
Joško Gvardiol,49.54648059685456,45.00692445129289,13.845248388855605,0.9083778284375286,0.30762485012365426,0.6640017197006054,0.08604369761253867,0.12958354633680058
Mehdi Taremi,6.936291589101672,5.116682075227121,0.8463008499201989,0.737668249597014,0.16540031948000852,0.5053410655318866,0.16379284015105233,0.3241233521733593
Kléper Laveran Lima Ferreira,115.83875597185045,107.65292962843918,32.83538637634247,0.9293343037506335,0.30501154487548837,0.3449190992319296,0.00030190444437853557,0.000875290597275768
Odilon Kossonou,251.94877617376326,228.55692948228565,63.296758192125296,0.9071563392895992,0.2769408844242945,0.8752186512225206,0.1610726135236223,0.1840369984102067
Saud Abdullah Abdul Hamid,7.540110486982816,5.796300503817521,1.9041202883516886,0.7687288553429297,0.3285061371641463,0.08267814337270347,0.0,0.0
Jackson Irvine,7.874394965248977,6.603661157582876,1.8431946650398674,0.8386245783613774,0.2791170868788985,0.16598703444028406,0.0,0.0
Cameron Carter-Vickers,5.566906328343466,4.90274884771181,2.1598225057824125,0.8806954093604646,0.44053296892628624,0.0,0.0,0.0
Viktor Tsygankov,9.938041565909876,7.678635460150164,0.42902426962881035,0.7726507691907755,0.055872462217449806,0.5178332589237319,0.0,0.0
Ismaeel Mohammad Mohammad,5.5471776326205955,4.389362574414221,0.33071436657153214,0.7912785320957173,0.07534450867633494,0.16567195849178393,0.0,0.0
Gustavo Adolfo Puerta Molano,8.29689877045137,7.981088450693928,2.391791431467763,0.9619363416988801,0.2996823611521064,0.4007470936297737,0.0,0.0
Jan-Niklas Beste,7.436397343235083,3.7446592128628313,0.8276007720318262,0.5035582473641435,0.2210083014200688,0.0,0.0,0.0
Mikel Oyarzabal Ugarte,21.056898277286965,18.47432817940986,2.8981127536946696,0.8773527770392092,0.156872429976896,1.907206028642741,0.3303776659988187,0.17322599710631748
Hamari Traoré,6.659029429034928,5.097980433141603,1.6502994345021569,0.7655740956652353,0.3237163139688962,0.32242769987013176,0.09091775248517887,0.28197872739159496
