,Z_0_0,Z_0_1,Z_0_2,Z_0_3,Z_0_4,Z_1_0,Z_1_1,Z_1_2,Z_1_3,Z_1_4,Z_2_0,Z_2_1,Z_2_2,Z_2_3,Z_2_4,Z_3_0,Z_3_1,Z_3_2,Z_3_3,Z_3_4,Z_4_0,Z_4_1,Z_4_2,Z_4_3,Z_4_4,Z_5_0,Z_5_1,Z_5_2,Z_5_3,Z_5_4
Z_4_0,0.0,2.7929877836400986e-06,0.0,0.0,0.0,6.214928749473816e-05,0.0004542478919872149,0.00037071401775331186,2.305797999078892e-05,0.0,0.007191734310741702,0.004407925046475674,0.0009631905903838291,0.00016429236664975102,9.060320968626133e-06,0.18767028611196515,0.09329092371236528,0.011208554576830137,0.0015710537453674555,0.000507469221594215,0.354824102532492,0.17527220608707758,0.01224256571731802,0.003360432576502795,0.002609305100315662,0.0905452740209214,0.03142249048349832,0.014560094079746217,0.004878876203944382,0.0023872010298322762
Z_4_1,0.0,0.0,0.0,0.0,0.0,1.5082667606196134e-10,0.00014456377778434846,0.00026114815442204075,1.3443636506834648e-06,0.0,0.00017694544218495566,0.0016676669573110795,0.00260153892334813,6.264810971802479e-07,6.089313607568299e-07,0.027456784471721566,0.07750742264296628,0.03822016361832408,0.012710485088872039,0.0009387849195149494,0.1994621825687168,0.22807383541649318,0.13582894934336245,0.039261820741582056,0.009602073735441205,0.09689692062963406,0.07898636046474151,0.030366742077088657,0.012991184980562356,0.006841846118992993
Z_4_2,0.0,2.3279244094213425e-08,0.0,0.0,0.0,6.230097396648819e-07,1.955423654782427e-06,0.00059543648511641,0.00016062190403234316,6.292269271801154e-05,1.2776300945487801e-06,0.0003542917576676794,0.0023328630275863908,0.0011392138781903727,1.1222965299908144e-08,0.004323841851408485,0.03908357648884689,0.0661090059943608,0.0341515140235094,0.004329226840897533,0.040299148315279955,0.1876850757130297,0.201142291363798,0.1688746247685199,0.04946539050212712,0.023627300272912,0.062092411400852095,0.044456646378995913,0.04885687693310208,0.020853828841350553
Z_4_3,0.0,0.0,0.0,0.0,0.0,7.188879438680986e-07,0.0002688490895040567,0.000269381615322024,2.4823741964626724e-06,0.0,1.4375414098207603e-05,0.00014775955000074012,0.0010032850006626009,0.0013448414146739875,5.432725062848784e-05,0.0013933379345982806,0.009724779396082395,0.042152619666710925,0.07569102338078605,0.02663284437708863,0.007436361634928642,0.04256590619803262,0.13071181911154128,0.22694902859574717,0.1923908189948314,0.0060459370762571225,0.018313991576963482,0.036732300344125605,0.07897161237683825,0.10118159873843764
Z_4_4,0.0,0.0,0.0,0.0,0.0,0.0,6.309046017346284e-07,0.0003601573046256479,0.00019623234410842715,0.0001355677461624522,0.0,1.442796117085108e-06,0.0007695717756403813,0.00477454068399526,0.007649823593721745,0.0005794063492072678,0.0024666439392713835,0.01009453830239657,0.09174890803803153,0.17453020379984024,0.0014444141706397272,0.0037460629935936788,0.011939070161173805,0.1749293841009462,0.3572033974445731,0.003189749684477392,0.0056229079687099065,0.018215703585969356,0.03796775376832076,0.09243388854387616
Z_5_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016019234097922483,0.0033291649688190366,0.00010909606605197478,1.1146265168661113e-07,0.00011389542731292431,0.26534398460484315,0.12349496223571534,0.005794520717077217,0.0033944698336142525,0.0018593998826957842,0.30986977697111445,0.11875311210289716,0.11538282312998592,0.029072322491852973,0.007463126007445538
Z_5_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035139227910415685,0.0,0.0,0.0,0.0,1.2495244299383366e-05,2.539195803617535e-05,6.391814009814102e-05,0.0,0.0,0.03206394662610454,0.15286619694397177,0.06598292570227735,0.007125477535066134,0.0010830403301904578,0.12305317586763613,0.29108215042992797,0.2843036914846546,0.03193162418938122,0.010054573269252022
Z_5_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016979960566232061,0.0,4.357729541077507e-05,0.00044250563182676516,0.0,1.3340923517106505e-05,0.0017790733742411651,0.048372465369979044,0.1647395693602371,0.0613882144000067,0.0006551848438815448,0.016345316203100157,0.12971499357104435,0.40378454229554156,0.16304206499430013,0.007981155680290326
Z_5_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.869124016735388e-07,0.0,0.0,0.0,0.0,0.0,0.000449214332788638,0.0013383090237514474,0.00025811890170823927,0.001321965164690542,0.00027125962758070034,0.007012558839393206,0.05647063993242606,0.16725956880183684,0.04102862501495621,0.017234272073007494,0.037581888000292926,0.2633492126659371,0.3126624890103522,0.0937612916988767
Z_5_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.617178171865536e-07,1.2912809502105877e-05,0.0,0.0005810810923150009,0.0005456484064128363,0.004364040331596986,0.01974211129365623,0.00279357781002538,0.0034682375496495757,0.006287033042104853,0.1241677284390568,0.2444692329979957,0.006349174578231919,0.03920695192371902,0.11559645887641015,0.1225161284128024,0.30989952071870386
